tenure_months,age,monthly_charges,total_charges,num_support_calls,avg_gb_download,household_size,num_addon_services,late_payments_12m,contract_type,payment_method,has_online_security,has_tech_support,has_paperless_billing,churned
3,50,46.96,128.16,0,29.6,4,4,3,0,1,1,1,0,1
3,38,58.34,163.21,2,22.0,4,3,2,1,3,0,1,1,1
59,33,72.32,4217.6,1,35.7,1,1,0,2,0,1,0,1,1
71,26,54.16,3719.35,3,22.7,5,5,0,1,0,0,1,1,0
42,31,95.62,4114.23,2,28.5,5,6,1,1,3,0,0,0,0
51,44,85.24,4143.72,4,15.0,3,2,2,0,2,1,1,1,0
18,34,47.13,814.71,2,34.7,4,1,1,1,0,1,1,0,0
8,76,67.86,508.49,1,39.0,2,2,0,0,0,0,0,0,1
22,66,121.57,2720.74,2,18.5,3,2,1,0,3,1,1,1,1
7,21,100.57,696.23,2,34.7,5,4,0,1,2,0,0,0,0
44,55,111.56,5119.8,1,48.7,1,4,1,0,1,0,1,1,1
9,31,94.73,783.27,0,34.4,1,5,2,1,0,0,1,1,1
61,49,61.86,3479.34,3,16.6,2,2,2,0,1,1,1,1,1
4,57,77.92,321.89,1,31.1,4,3,2,0,0,0,1,1,1
22,23,63.15,1390.96,3,25.1,1,5,1,0,0,1,1,1,0
13,66,53.4,702.84,5,56.5,6,2,2,0,0,1,0,0,1
48,74,72.7,3307.75,2,26.3,2,0,0,0,2,0,0,0,1
27,69,94.7,2396.69,2,37.0,4,1,3,0,2,1,0,0,1
10,20,71.44,659.31,1,47.6,2,3,1,1,0,1,1,0,0
63,51,77.08,4518.65,0,68.3,1,6,0,2,3,1,0,0,0
72,44,67.03,4863.2,3,27.3,3,5,0,1,0,0,1,0,0
52,43,72.76,3501.51,3,40.0,2,6,3,0,0,1,0,1,1
64,23,62.67,3790.9,0,17.0,4,6,1,0,0,1,1,1,0
21,56,50.27,959.1,3,21.7,6,3,2,0,3,1,1,0,1
5,41,76.13,360.87,2,9.3,6,0,3,0,0,0,0,1,1
29,22,91.64,2639.87,3,13.5,3,2,1,0,0,0,1,1,0
2,77,33.29,60.26,1,18.5,6,5,1,0,3,1,0,1,1
66,33,47.63,2839.31,6,14.0,6,1,0,0,0,1,1,0,0
8,43,108.65,788.79,4,77.0,5,4,0,0,2,0,1,0,1
14,22,50.38,732.57,2,40.9,3,1,1,2,0,0,1,1,1
63,22,94.71,5503.15,5,30.5,1,5,0,2,2,0,0,1,1
54,47,84.72,4265.24,2,12.6,5,3,2,1,2,0,0,1,1
29,35,81.34,2150.46,2,27.5,2,6,1,0,3,0,0,1,0
5,24,71.05,372.33,2,48.4,2,1,0,1,1,0,0,1,1
15,25,81.36,1210.07,3,4.7,6,5,0,0,3,1,0,0,1
50,58,18.0,848.4,0,87.7,2,6,0,0,2,1,1,0,0
3,70,45.83,134.3,5,42.3,2,0,2,1,0,1,0,1,1
59,78,96.95,5577.11,3,18.9,2,3,0,1,2,0,0,1,0
